trp_gekokujo_nanbu_veteran_retainer_pl|陆 奥 武 士 
trp_gekokujo_nanbu_mounted_retainer|陆 奥 骑 马 侍 从 
trp_gekokujo_nanbu_mounted_retainer_pl|陆 奥 骑 马 侍 从 
trp_gekokujo_nanbu_samurai_gunner|陆 奥 铁 炮 武 士 
trp_gekokujo_nanbu_samurai_gunner_pl|陆 奥 铁 炮 武 士 
trp_gekokujo_nanbu_samurai_archer|陆 奥 弓 武 士 
trp_gekokujo_nanbu_samurai_archer_pl|陆 奥 弓 武 士 
trp_gekokujo_nanbu_officer|陆 奥 军 官 
trp_gekokujo_nanbu_officer_pl|陆 奥 军 官 
trp_gekokujo_nanbu_mounted_officer|陆 奥 骑 马 军 官 
trp_gekokujo_nanbu_mounted_officer_pl|陆 奥 骑 马 军 官 
trp_gekokujo_nanbu_master_gunner|陆 奥 铁 炮 队 长 
trp_gekokujo_nanbu_master_gunner_pl|陆 奥 铁 炮 队 长 
trp_gekokujo_nanbu_master_archer|陆 奥 弓 队 长 
trp_gekokujo_nanbu_master_archer_pl|陆 奥 弓 队 长 
trp_gekokujo_nanbu_hatamoto_guard|陆 奥 亲 卫 
trp_gekokujo_nanbu_hatamoto_guard_pl|陆 奥 亲 卫 
trp_gekokujo_nanbu_hatamoto_archer|陆 奥 弓 奉 行 
trp_gekokujo_nanbu_hatamoto_archer_pl|陆 奥 弓 奉 行 
trp_gekokujo_nanbu_messenger|陆 奥 信 使 
trp_gekokujo_nanbu_messenger_pl|陆 奥 信 使 
trp_gekokujo_nanbu_deserter|陆 奥 逃 兵 
trp_gekokujo_nanbu_deserter_pl|陆 奥 逃 兵 
trp_gekokujo_nanbu_prison_guard|陆 奥 监 狱 守 卫 
trp_gekokujo_nanbu_prison_guard_pl|陆 奥 监 狱 守 卫 
trp_gekokujo_nanbu_castle_guard|陆 奥 城 堡 守 卫 
trp_gekokujo_nanbu_castle_guard_pl|陆 奥 城 堡 守 卫 
trp_gekokujo_saito_jizamurai|大 垣 见 习 侍 从 
trp_gekokujo_saito_jizamurai_pl|大 垣 见 习 侍 从 
trp_gekokujo_saito_retainer|大 垣 侍 从 
trp_gekokujo_saito_retainer_pl|大 垣 侍 从 
trp_gekokujo_saito_marksman|大 垣 侍 从 射 手 
trp_gekokujo_saito_marksman_pl|大 垣 侍 从 射 手 
trp_gekokujo_saito_veteran_retainer|资 深 大 垣 侍 从 
trp_gekokujo_saito_veteran_retainer_pl|资 深 大 垣 侍 从 
trp_gekokujo_saito_mounted_retainer|大 垣 骑 马 侍 从 
trp_gekokujo_saito_mounted_retainer_pl|大 垣 骑 马 侍 从 
trp_gekokujo_saito_samurai_gunner|大 垣 铁 炮 武 士 
trp_gekokujo_saito_samurai_gunner_pl|大 垣 铁 炮 武 士 
trp_gekokujo_saito_samurai_archer|大 垣 弓 武 士 
trp_gekokujo_saito_samurai_archer_pl|大 垣 弓 武 士 
trp_gekokujo_saito_officer|大 垣 军 官 
trp_gekokujo_saito_officer_pl|大 垣 军 官 
trp_gekokujo_saito_mounted_officer|大 垣 骑 马 军 官 
trp_gekokujo_saito_mounted_officer_pl|大 垣 骑 马 军 官 
trp_gekokujo_saito_master_gunner|大 垣 铁 炮 武 士 
trp_gekokujo_saito_master_gunner_pl|大 垣 铁 炮 武 士 
trp_gekokujo_saito_master_archer|大 垣 弓 武 士 
trp_gekokujo_saito_master_archer_pl|大 垣 弓 武 士 
trp_gekokujo_saito_hatamoto_guard|大 垣 亲 卫 
trp_gekokujo_saito_hatamoto_guard_pl|大 垣 亲 卫 
trp_gekokujo_saito_hatamoto_archer|大 垣 马 回 
trp_gekokujo_saito_hatamoto_archer_pl|大 垣 马 回 
trp_gekokujo_saito_messenger|大 垣 信 使 
trp_gekokujo_saito_messenger_pl|大 垣 信 使 
trp_gekokujo_saito_deserter|大 垣 逃 兵 
trp_gekokujo_saito_deserter_pl|大 垣 逃 兵 
trp_gekokujo_saito_prison_guard|大 垣 监 狱 守 卫 
trp_gekokujo_saito_prison_guard_pl|大 垣 监 狱 守 卫 
trp_gekokujo_saito_castle_guard|大 垣 城 堡 守 卫 
trp_gekokujo_saito_castle_guard_pl|大 垣 城 堡 守 卫 
trp_gekokujo_akamatsu_jizamurai|福 冈 见 习 侍 从 
trp_gekokujo_akamatsu_jizamurai_pl|福 冈 见 习 侍 从 
trp_gekokujo_akamatsu_retainer|福 冈 侍 从 
trp_gekokujo_akamatsu_retainer_pl|福 冈 侍 从 
trp_gekokujo_akamatsu_marksman|福 冈 侍 从 射 手 
trp_gekokujo_akamatsu_marksman_pl|福 冈 侍 从 射 手 
trp_gekokujo_akamatsu_veteran_retainer|资 深 福 冈 侍 从 
trp_gekokujo_akamatsu_veteran_retainer_pl|资 深 福 冈 侍 从 
trp_gekokujo_akamatsu_mounted_retainer|福 冈 骑 马 侍 从 
trp_gekokujo_akamatsu_mounted_retainer_pl|福 冈 骑 马 侍 从 
trp_gekokujo_akamatsu_samurai_gunner|福 冈 铁 炮 武 士 
trp_gekokujo_akamatsu_samurai_gunner_pl|福 冈 铁 炮 武 士 
trp_gekokujo_akamatsu_samurai_archer|福 冈 弓 武 士 
trp_gekokujo_akamatsu_samurai_archer_pl|福 冈 弓 武 士 
trp_gekokujo_akamatsu_officer|福 冈 军 官 
trp_gekokujo_akamatsu_officer_pl|福 冈 军 官 
trp_gekokujo_akamatsu_mounted_officer|福 冈 骑 马 军 官 
trp_gekokujo_akamatsu_mounted_officer_pl|福 冈 骑 马 军 官 
trp_gekokujo_akamatsu_master_gunner|福 冈 铁 炮 武 士 
trp_gekokujo_akamatsu_master_gunner_pl|福 冈 铁 炮 武 士 
trp_gekokujo_akamatsu_master_archer|福 冈 弓 武 士 
trp_gekokujo_akamatsu_master_archer_pl|福 冈 弓 武 士 
trp_gekokujo_akamatsu_hatamoto_guard|福 冈 亲 卫 
trp_gekokujo_akamatsu_hatamoto_guard_pl|福 冈 亲 卫 
trp_gekokujo_akamatsu_hatamoto_cavalry|福 冈 马 回 
trp_gekokujo_akamatsu_hatamoto_cavalry_pl|福 冈 马 回 
trp_gekokujo_akamatsu_messenger|福 冈 信 使 
trp_gekokujo_akamatsu_messenger_pl|福 冈 信 使 
trp_gekokujo_akamatsu_deserter|福 冈 逃 兵 
trp_gekokujo_akamatsu_deserter_pl|福 冈 逃 兵 
trp_gekokujo_akamatsu_prison_guard|福 冈 监 狱 守 卫 
trp_gekokujo_akamatsu_prison_guard_pl|福 冈 监 狱 守 卫 
trp_gekokujo_akamatsu_castle_guard|福 冈 城 堡 守 卫 
trp_gekokujo_akamatsu_castle_guard_pl|福 冈 城 堡 守 卫 
trp_gekokujo_sokudo_jizamurai|地 方 下 部 
trp_gekokujo_sokudo_jizamurai_pl|地 方 下 部 
trp_gekokujo_sokudo_retainer|地 方 侍 从 
trp_gekokujo_sokudo_retainer_pl|地 方 侍 从 
trp_gekokujo_sokudo_marksman|地 方 铁 放 侍 从 
trp_gekokujo_sokudo_marksman_pl|地 方 铁 放 侍 从 
trp_gekokujo_sokudo_veteran_retainer|地 方 武 者 
trp_gekokujo_sokudo_veteran_retainer_pl|地 方 武 者 
trp_gekokujo_sokudo_mounted_retainer|地 方 骑 马 侍 从 
trp_gekokujo_sokudo_mounted_retainer_pl|地 方 骑 马 侍 从 
trp_gekokujo_sokudo_samurai_gunner|地 方 铁 炮 武 者 
trp_gekokujo_sokudo_samurai_gunner_pl|地 方 铁 炮 武 者 
trp_gekokujo_sokudo_samurai_archer|地 方 弓 武 者 
trp_gekokujo_sokudo_samurai_archer_pl|地 方 弓 武 者 
trp_gekokujo_sokudo_officer|地 方 长 柄 军 官 
trp_gekokujo_sokudo_officer_pl|地 方 长 柄 军 官 
trp_gekokujo_sokudo_mounted_officer|地 方 骑 马 武 者 
trp_gekokujo_sokudo_mounted_officer_pl|地 方 骑 马 武 者 
trp_gekokujo_sokudo_master_gunner|地 方 铁 炮 队 长 
trp_gekokujo_sokudo_master_gunner_pl|地 方 铁 炮 队 长 
trp_gekokujo_sokudo_master_archer|地 方 弓 队 长 
trp_gekokujo_sokudo_master_archer_pl|地 方 弓 队 长 
trp_gekokujo_sokudo_hatamoto_guard|地 方 旗 本 众 
trp_gekokujo_sokudo_hatamoto_guard_pl|地 方 旗 本 众 
trp_gekokujo_sokudo_hatamoto_cavalry|地 方 旗 本 马 队 
trp_gekokujo_sokudo_hatamoto_cavalry_pl|地 方 旗 本 马 队 
trp_gekokujo_sokudo_messenger|地 方 信 使 
trp_gekokujo_sokudo_messenger_pl|地 方 信 使 
trp_gekokujo_sokudo_deserter|地 方 逃 兵 
trp_gekokujo_sokudo_deserter_pl|地 方 逃 兵 
trp_gekokujo_sokudo_prison_guard|地 方 监 狱 守 卫 
trp_gekokujo_sokudo_prison_guard_pl|地 方 监 狱 守 卫 
trp_gekokujo_sokudo_castle_guard|地 方 城 堡 守 卫 
trp_gekokujo_sokudo_castle_guard_pl|地 方 城 堡 守 卫 
trp_gekokujo_ikko_monk|僧 兵 
trp_gekokujo_ikko_monk_pl|僧 兵 
trp_gekokujo_ikko_marksman_monk|僧 兵 射 手 
trp_gekokujo_ikko_marksman_monk_pl|僧 兵 射 手 
trp_gekokujo_ikko_arquebus_monk|铁 炮 僧 兵 
trp_gekokujo_ikko_arquebus_monk_pl|铁 炮 僧 兵 
trp_gekokujo_ikko_veteran_arquebus_monk|资 深 铁 炮 僧 兵 
trp_gekokujo_ikko_veteran_arquebus_monk_pl|资 深 铁 炮 僧 兵 
trp_gekokujo_ikko_yumi_monk|弓 僧 兵 
trp_gekokujo_ikko_yumi_monk_pl|弓 僧 兵 
trp_gekokujo_ikko_veteran_yumi_monk|资 深 弓 僧 兵 
trp_gekokujo_ikko_veteran_yumi_monk_pl|资 深 弓 僧 兵 
trp_gekokujo_ikko_yari_monk|长 枪 僧 兵 
trp_gekokujo_ikko_yari_monk_pl|长 枪 僧 兵 
trp_gekokujo_ikko_veteran_yari_monk|资 深 长 枪 僧 兵 
trp_gekokujo_ikko_veteran_yari_monk_pl|资 深 长 枪 僧 兵 
trp_gekokujo_ikko_naginata_monk|薙 刀 僧 兵 
trp_gekokujo_ikko_naginata_monk_pl|薙 刀 僧 兵 
trp_gekokujo_ikko_veteran_naginata_monk|资 深 薙 刀 僧 兵 
trp_gekokujo_ikko_veteran_naginata_monk_pl|资 深 薙 刀 僧 兵 
trp_gekokujo_ikko_elite_naginata_monk|精 锐 薙 刀 僧 兵 
trp_gekokujo_ikko_elite_naginata_monk_pl|精 锐 薙 刀 僧 兵 
trp_gekokujo_ikko_messenger|信 使 
trp_gekokujo_ikko_messenger_pl|信 使 
trp_gekokujo_ikko_deserter|苦 行 僧 
trp_gekokujo_ikko_deserter_pl|苦 行 僧 
trp_gekokujo_ikko_prison_guard|监 狱 守 卫 
trp_gekokujo_ikko_prison_guard_pl|监 狱 守 卫 
trp_gekokujo_ikko_castle_guard|城 堡 守 卫 
trp_gekokujo_ikko_castle_guard_pl|城 堡 守 卫 
trp_looter|野 伏 
trp_looter_pl|野 伏 
trp_bandit|泥 棒 
trp_bandit_pl|泥 棒 
trp_brigand|山 贼 
trp_brigand_pl|山 贼 
trp_woku_pirate|外 国 水 手 
trp_woku_pirate_pl|外 国 水 手 
trp_shinano_rebel|志 士 
trp_shinano_rebel_pl|志 士 
trp_kinai_rebel|叛 乱 武 士 
trp_kinai_rebel_pl|叛 乱 武 士 
trp_seto_pirate|外 国 水 手 
trp_seto_pirate_pl|外 国 水 手 
trp_kanto_rebel|水 户 叛 军 
trp_kanto_rebel_pl|水 户 叛 军 
trp_northern_raider|阿 伊 努 勇 士 
trp_northern_raider_pl|阿 伊 努 勇 士 
trp_monk_rebel|尊 王 攘 夷 浪 人 
trp_monk_rebel_pl|尊 王 攘 夷 浪 人 
trp_generic_ashigaru|脱 走 足 轻 
trp_generic_ashigaru_pl|脱 走 足 轻 
trp_generic_jizamurai|脱 走 野 武 士 
trp_generic_jizamurai_pl|脱 走 野 武 士 
trp_northern_warlord|阿 依 努 猛 者 
trp_northern_warlord_pl|阿 依 努 猛 者 
trp_ronin|武 装 町 人 
trp_ronin_pl|武 装 町 人 
trp_ronin_wanderer|相 伴 
trp_ronin_wanderer_pl|相 伴 
trp_ronin_adventurer|浪 人 
trp_ronin_adventurer_pl|浪 人 
trp_ronin_protector|地 头 武 士 
trp_ronin_protector_pl|地 头 武 士 
trp_ronin_hero|地 方 头 领 
trp_ronin_hero_pl|地 方 头 领 
trp_onnabushi|侍 女 
trp_onnabushi_pl|侍 女 
trp_onnabushi_trained|女 近 侍 
trp_onnabushi_trained_pl|女 近 侍 
trp_onnabushi_veteran|姬 武 士 
trp_onnabushi_veteran_pl|姬 武 士 
trp_onnabushi_elite|御 前 姬 武 士 
trp_onnabushi_elite_pl|御 前 姬 武 士 
trp_female_agent|女 忍 
trp_female_agent_pl|女 忍 
trp_female_agent_experienced|女 上 忍 
trp_female_agent_experienced_pl|女 上 忍 
trp_refugee|难 民 
trp_refugee_pl|难 民 
trp_peasant_woman|村 妇 
trp_peasant_woman_pl|村 妇 
trp_caravan_master|商 队 头 领 
trp_caravan_master_pl|商 队 头 领 
trp_kidnapped_girl|被 绑 架 的 女 子 
trp_kidnapped_girl_pl|被 绑 架 的 女 子 
trp_town_walker_1|町 人 
trp_town_walker_1_pl|町 人 
trp_town_walker_2|町 人 
trp_town_walker_2_pl|町 人 
trp_village_walker_1|村 民 
trp_village_walker_1_pl|村 民 
trp_village_walker_2|村 民 
trp_village_walker_2_pl|村 民 
trp_ainu_walker_1|村 民 
trp_ainu_walker_1_pl|村 民 
trp_ainu_walker_2|村 民 
trp_ainu_walker_2_pl|村 民 
trp_spy_walker_1|町 人 
trp_spy_walker_1_pl|町 人 
trp_spy_walker_2|町 人 
trp_spy_walker_2_pl|町 人 
trp_tournament_master|师 范 
trp_tournament_master_pl|师 范 
trp_trainer|师 范 
trp_trainer_pl|师 范 
trp_constable_hareck|座 头 市 
trp_constable_hareck_pl|座 头 市 
trp_ramun_the_slave_trader|外 国 奴 隶 贩 子 
trp_ramun_the_slave_trader_pl|外 国 奴 隶 贩 子 
trp_guide|机 灵 鬼 吉 米 
trp_guide_pl|机 灵 鬼 吉 米 
trp_kaihime|海 姬 
trp_kaihime_pl|海 姬 
trp_sen|千 
trp_sen_pl|千 
trp_tsuruhime|鹤 姬 
trp_tsuruhime_pl|鹤 姬 
trp_naotora|直 虎 
trp_naotora_pl|直 虎 
trp_keiji|庆 次 
trp_keiji_pl|庆 次 
trp_yukimura|幸 村 
trp_yukimura_pl|幸 村 
trp_ranmaru|兰 丸 
trp_ranmaru_pl|兰 丸 
trp_kambei|勘 兵 卫 
trp_kambei_pl|勘 兵 卫 
trp_katsushiro|胜 四 郎 
trp_katsushiro_pl|胜 四 郎 
trp_gorobei|五 郎 兵 卫 
trp_gorobei_pl|五 郎 兵 卫 
trp_shichiroji|七 郎 次 
trp_shichiroji_pl|七 郎 次 
trp_heihachi|平 八 
trp_heihachi_pl|平 八 
trp_kyuzo|久 藏 
trp_kyuzo_pl|久 藏 
trp_kikuchiyo|菊 千 代 
trp_kikuchiyo_pl|菊 千 代 
trp_sanjuro|三 郎 
trp_sanjuro_pl|三 郎 
trp_daizen|大 前 
trp_daizen_pl|大 前 
trp_tutorial_trainer|道 场 师 范 
trp_tutorial_trainer_pl|道 场 师 范 
trp_galeas|盖 里 阿 斯 
trp_galeas_pl|盖 里 阿 斯 
trp_farmer_from_bandit_village|农 民 
trp_farmer_from_bandit_village_pl|农 民 
trp_trainer_1|信 房 大 师 
trp_trainer_1_pl|信 房 大 师 
trp_trainer_2|国 安 大 师 
trp_trainer_2_pl|国 安 大 师 
trp_trainer_3|中 龟 大 师 
trp_trainer_3_pl|中 龟 大 师 
trp_trainer_4|重 宗 大 师 
trp_trainer_4_pl|重 宗 大 师 
trp_trainer_5|宇 治 江 大 师 
trp_trainer_5_pl|宇 治 江 大 师 
trp_ransom_broker_1|藤 兵 卫 
trp_ransom_broker_1_pl|藤 兵 卫 
trp_ransom_broker_2|穣 寿 
trp_ransom_broker_2_pl|穣 寿 
trp_ransom_broker_3|龙 一 
trp_ransom_broker_3_pl|龙 一 
trp_ransom_broker_4|虎 之 助 
trp_ransom_broker_4_pl|虎 之 助 
trp_ransom_broker_5|秀 仓 
trp_ransom_broker_5_pl|秀 仓 
trp_ransom_broker_6|柳 
trp_ransom_broker_6_pl|柳 
trp_ransom_broker_7|犬 肋 
trp_ransom_broker_7_pl|犬 肋 
trp_ransom_broker_8|古 马 烙 
trp_ransom_broker_8_pl|古 马 烙 
trp_ransom_broker_9|峰 太 郎 
trp_ransom_broker_9_pl|峰 太 郎 
trp_ransom_broker_10|韩 之 丸 
trp_ransom_broker_10_pl|韩 之 丸 
trp_ransom_broker_11|光 
trp_ransom_broker_11_pl|光 
trp_ransom_broker_12|勘 九 郎 
trp_ransom_broker_12_pl|勘 九 郎 
trp_ransom_broker_13|鹤 五 
trp_ransom_broker_13_pl|鹤 五 
trp_ransom_broker_14|鹤 一 
trp_ransom_broker_14_pl|鹤 一 
trp_ransom_broker_15|平 马 
trp_ransom_broker_15_pl|平 马 
trp_ransom_broker_16|亚 极 陀 
trp_ransom_broker_16_pl|亚 极 陀 
trp_ransom_broker_17|冈 次 郎 
trp_ransom_broker_17_pl|冈 次 郎 
trp_ransom_broker_18|伪 与 力 
trp_ransom_broker_18_pl|伪 与 力 
trp_ransom_broker_19|石 蛎 
trp_ransom_broker_19_pl|石 蛎 
trp_ransom_broker_20|辻 一 刀 斎 
trp_ransom_broker_20_pl|辻 一 刀 斎 
trp_tavern_traveler_1|半 藏 
trp_tavern_traveler_1_pl|半 藏 
trp_tavern_traveler_2|修 一 郎 
trp_tavern_traveler_2_pl|修 一 郎 
trp_tavern_traveler_3|吉 田 龟 
trp_tavern_traveler_3_pl|吉 田 龟 
trp_tavern_traveler_4|孙 九 郎 
trp_tavern_traveler_4_pl|孙 九 郎 
trp_tavern_traveler_5|宁 次 波 郎 
trp_tavern_traveler_5_pl|宁 次 波 郎 
trp_tavern_traveler_6|御 侍 
trp_tavern_traveler_6_pl|御 侍 
trp_tavern_traveler_7|竹 代 健 
trp_tavern_traveler_7_pl|竹 代 健 
trp_tavern_traveler_8|本 间 宪 泰 
trp_tavern_traveler_8_pl|本 间 宪 泰 
trp_tavern_traveler_9|山 崎 罗 
trp_tavern_traveler_9_pl|山 崎 罗 
trp_tavern_traveler_10|庄 兵 卫 
trp_tavern_traveler_10_pl|庄 兵 卫 
trp_tavern_traveler_11|大 平 泉 野 
trp_tavern_traveler_11_pl|大 平 泉 野 
trp_tavern_traveler_12|勇 八 
trp_tavern_traveler_12_pl|勇 八 
trp_tavern_traveler_13|康 垢 
trp_tavern_traveler_13_pl|康 垢 
trp_tavern_traveler_14|平 山 耀 
trp_tavern_traveler_14_pl|平 山 耀 
trp_tavern_traveler_15|泷 一 郎 
trp_tavern_traveler_15_pl|泷 一 郎 
trp_tavern_traveler_16|荒 木 狩 
trp_tavern_traveler_16_pl|荒 木 狩 
trp_tavern_traveler_17|二 叶 至 乃 
trp_tavern_traveler_17_pl|二 叶 至 乃 
trp_tavern_traveler_18|雅 
trp_tavern_traveler_18_pl|雅 
trp_tavern_traveler_19|西 萨 
trp_tavern_traveler_19_pl|西 萨 
trp_tavern_traveler_20|花 纳 
trp_tavern_traveler_20_pl|花 纳 
trp_tavern_bookseller_1|悠 吉 
trp_tavern_bookseller_1_pl|悠 吉 
trp_tavern_bookseller_2|大 木 一 郎 
trp_tavern_bookseller_2_pl|大 木 一 郎 
trp_tavern_minstrel_1|子 孙 
trp_tavern_minstrel_1_pl|子 孙 
trp_tavern_minstrel_2|源 六 郎 
trp_tavern_minstrel_2_pl|源 六 郎 
trp_tavern_minstrel_3|松 
trp_tavern_minstrel_3_pl|松 
trp_tavern_minstrel_4|醍 醐 
trp_tavern_minstrel_4_pl|醍 醐 
trp_tavern_minstrel_5|良 太 
trp_tavern_minstrel_5_pl|良 太 
trp_kingdom_heroes_including_player_begin|kingdom heroes including player begin
trp_kingdom_heroes_including_player_begin_pl|kingdom heroes including player begin
trp_npc1|小 次 郎 
trp_npc1_pl|小 次 郎 
trp_npc2|优 木 
trp_npc2_pl|优 木 
trp_npc3|威 廉 
trp_npc3_pl|威 廉 
trp_npc4|权 之 助 
trp_npc4_pl|权 之 助 
trp_npc5|洪 美 玲 
trp_npc5_pl|洪 美 玲 
trp_npc6|东 治 子 
trp_npc6_pl|东 治 子 
trp_npc7|武 藏 
trp_npc7_pl|武 藏 
trp_npc8|弗 朗 西 斯 
trp_npc8_pl|弗 朗 西 斯 
trp_npc9|良 子 
trp_npc9_pl|良 子 
trp_npc10|五 右 卫 门 
trp_npc10_pl|五 右 卫 门 
trp_npc11|麻 里 
trp_npc11_pl|麻 里 
trp_npc12|星 
trp_npc12_pl|星 
trp_npc13|照 代 
trp_npc13_pl|照 代 
trp_npc14|雪 斋 
trp_npc14_pl|雪 斋 
trp_npc15|良 雄 
trp_npc15_pl|良 雄 
trp_npc16|兵 库 助 
trp_npc16_pl|兵 库 助 
trp_npc17|油 生 
trp_npc17_pl|油 生 
trp_npc18|满 都 海 
trp_npc18_pl|满 都 海 
trp_npc19|乔 治 
trp_npc19_pl|乔 治 
trp_npc20|施 
trp_npc20_pl|施 
trp_npc21|恩 里 克 
trp_npc21_pl|恩 里 克 
trp_npc22|伊 锁 山 台 
trp_npc22_pl|伊 锁 山 台 
trp_npc23|理 查 德 
trp_npc23_pl|理 查 德 
trp_fort_npc_1_2|本 间 桃 子 
trp_fort_npc_1_2_pl|本 间 桃 子 
trp_fort_npc_2_2|正 恩 
trp_fort_npc_2_2_pl|正 恩 
trp_fort_npc_3_2|元 禄 
trp_fort_npc_3_2_pl|元 禄 
trp_fort_npc_4_2|寿 桂 尼 
trp_fort_npc_4_2_pl|寿 桂 尼 
trp_fort_npc_5_2|酒 三 麻 
trp_fort_npc_5_2_pl|酒 三 麻 
trp_fort_npc_6_2|马 分 系 
trp_fort_npc_6_2_pl|马 分 系 
trp_fort_npc_1_1|本 间 家 主 
trp_fort_npc_1_1_pl|本 间 家 主 
trp_fort_npc_2_1|宗 氏 当 主 
trp_fort_npc_2_1_pl|宗 氏 当 主 
trp_fort_npc_3_1|杜 安 
trp_fort_npc_3_1_pl|杜 安 
trp_fort_npc_4_1|天 界 
trp_fort_npc_4_1_pl|天 界 
trp_fort_npc_5_1|阿 弖 流 为 
trp_fort_npc_5_1_pl|阿 弖 流 为 
trp_fort_npc_6_1|坷 相 曼 夷 
trp_fort_npc_6_1_pl|坷 相 曼 夷 
trp_kingdom_1_lord|榊 原 政 敬 
trp_kingdom_1_lord_pl|榊 原 政 敬 
trp_kingdom_2_lord|伊 达 庆 邦 
trp_kingdom_2_lord_pl|伊 达 庆 邦 
trp_kingdom_3_lord|藤 堂 高 猷 
trp_kingdom_3_lord_pl|藤 堂 高 猷 
trp_kingdom_4_lord|毛 利 敬 亲 
trp_kingdom_4_lord_pl|毛 利 敬 亲 
trp_kingdom_5_lord|松 平 容 保 
trp_kingdom_5_lord_pl|松 平 容 保 
trp_kingdom_6_lord|德 川 庆 喜 
trp_kingdom_6_lord_pl|德 川 庆 喜 
trp_kingdom_7_lord|蜂 须 贺 茂 韶 
trp_kingdom_7_lord_pl|蜂 须 贺 茂 韶 
trp_kingdom_8_lord|池 田 庆 德 
trp_kingdom_8_lord_pl|池 田 庆 德 
trp_kingdom_9_lord|细 川 韶 邦 
trp_kingdom_9_lord_pl|细 川 韶 邦 
trp_kingdom_10_lord|津 轻 承 昭 
trp_kingdom_10_lord_pl|津 轻 承 昭 
trp_kingdom_11_lord|井 伊 直 宪 
trp_kingdom_11_lord_pl|井 伊 直 宪 
trp_kingdom_12_lord|山 内 丰 范 
trp_kingdom_12_lord_pl|山 内 丰 范 
trp_kingdom_13_lord|胜 海 舟 
trp_kingdom_13_lord_pl|胜 海 舟 
trp_kingdom_14_lord|佐 竹 义 尧 
trp_kingdom_14_lord_pl|佐 竹 义 尧 
trp_kingdom_15_lord|岛 津 忠 义 
trp_kingdom_15_lord_pl|岛 津 忠 义 
trp_kingdom_16_lord|锅 岛 直 大 
trp_kingdom_16_lord_pl|锅 岛 直 大 
trp_kingdom_17_lord|德 川 庆 笃 
trp_kingdom_17_lord_pl|德 川 庆 笃 
trp_kingdom_18_lord|堀 田 正 伦 
trp_kingdom_18_lord_pl|堀 田 正 伦 
trp_kingdom_19_lord|酒 井 忠 惇 
trp_kingdom_19_lord_pl|酒 井 忠 惇 
trp_kingdom_20_lord|前 田 庆 宁 
trp_kingdom_20_lord_pl|前 田 庆 宁 
trp_kingdom_22_lord|内 藤 政 挙 
trp_kingdom_22_lord_pl|内 藤 政 挙 
trp_kingdom_23_lord|明 治 天 皇 
trp_kingdom_23_lord_pl|明 治 天 皇 
trp_kingdom_24_lord|南 部 利 刚 
trp_kingdom_24_lord_pl|南 部 利 刚 
trp_kingdom_25_lord|户 田 氏 共 
trp_kingdom_25_lord_pl|户 田 氏 共 
trp_kingdom_26_lord|黑 田 长 溥 
trp_kingdom_26_lord_pl|黑 田 长 溥 
trp_knight_1_1|松 平 直 春 
trp_knight_1_1_pl|松 平 直 春 
trp_knight_1_2|本 多 助 实 
trp_knight_1_2_pl|本 多 助 实 
trp_knight_1_3|牧 野 忠 恭 
trp_knight_1_3_pl|牧 野 忠 恭 
trp_knight_1_4|堀 直 賀 
trp_knight_1_4_pl|堀 直 賀 
trp_knight_1_5|松 平 光 则 
trp_knight_1_5_pl|松 平 光 则 
trp_knight_1_6|溝 口 直 溥 
trp_knight_1_6_pl|溝 口 直 溥 
trp_knight_1_7|真 田 幸 民 
trp_knight_1_7_pl|真 田 幸 民 
trp_knight_1_8|柳 沢 光 昭 
trp_knight_1_8_pl|柳 沢 光 昭 
trp_knight_1_9|内 藤 信 美 
trp_knight_1_9_pl|内 藤 信 美 
trp_knight_1_10|堀 直 明 
trp_knight_1_10_pl|堀 直 明 
trp_knight_2_1|伊 达 邦 成 
trp_knight_2_1_pl|伊 达 邦 成 
trp_knight_2_2|伊 达 邦 直 
trp_knight_2_2_pl|伊 达 邦 直 
trp_knight_2_3|石 川 邦 光 
trp_knight_2_3_pl|石 川 邦 光 
trp_knight_2_4|留 守 邦 宁 
trp_knight_2_4_pl|留 守 邦 宁 
trp_knight_2_5|板 仓 胜 达 
trp_knight_2_5_pl|板 仓 胜 达 
trp_knight_2_6|安 藤 信 勇 
trp_knight_2_6_pl|安 藤 信 勇 
trp_knight_2_7|相 马 诚 胤 
trp_knight_2_7_pl|相 马 诚 胤 
trp_knight_2_8|内 藤 政 养 
trp_knight_2_8_pl|内 藤 政 养 
trp_knight_3_1|石 川 成 之 
trp_knight_3_1_pl|石 川 成 之 
trp_knight_3_2|藤 堂 高 邦 
trp_knight_3_2_pl|藤 堂 高 邦 
trp_knight_3_3|藤 堂 高 洁 
trp_knight_3_3_pl|藤 堂 高 洁 
trp_knight_3_4|土 方 雄 永 
trp_knight_3_4_pl|土 方 雄 永 
trp_knight_3_5|增 山 正 修 
trp_knight_3_5_pl|增 山 正 修 
trp_knight_3_6|松 平 定 敬 
trp_knight_3_6_pl|松 平 定 敬 
trp_knight_3_7|藤 堂 元 施 
trp_knight_3_7_pl|藤 堂 元 施 
trp_knight_3_8|本 多 忠 贯 
trp_knight_3_8_pl|本 多 忠 贯 
trp_knight_3_9|稻 垣 长 行 
trp_knight_3_9_pl|稻 垣 长 行 
trp_knight_3_10|藤 堂 高 克 
trp_knight_3_10_pl|藤 堂 高 克 
trp_knight_4_1|浅 野 长 勲 
trp_knight_4_1_pl|浅 野 长 勲 
trp_knight_4_2|板 仓 胜 静 
